Combined Extraction Report for Page 3
Source: C:/Users/reem_/Desktop/commonARBoard/UserManualPerDemo/Nucleo-F767ZI-Schematic.pdf
Includes 0deg, 90deg CW, 45deg CCW passes.
--------------------------------------------------------------------------------
Label           | Type  | Conf  | Found @  | Center (x,y)
C8              | CP    | 0.98 | 0_deg    | (13070, 7730)
D3              | CP    | 0.98 | 0_deg    | (10219, 6367)
CN4             | CP    | 0.97 | 0_deg    | (11388, 3530)
R11             | CP    | 0.97 | 0_deg    | (2478, 7729)
IO1             | CP    | 0.97 | 0_deg    | (4025, 7929)
IO1             | CP    | 0.97 | 0_deg    | (3653, 7929)
R16             | CP    | 0.96 | 0_deg    | (6699, 8349)
R12             | CP    | 0.96 | 0_deg    | (6699, 7853)
IO2             | CP    | 0.96 | 0_deg    | (3657, 8176)
R17             | CP    | 0.96 | 0_deg    | (10990, 4856)
R13             | CP    | 0.96 | 0_deg    | (10987, 5351)
IO2             | CP    | 0.96 | 0_deg    | (4029, 8176)
R20             | CP    | 0.96 | 0_deg    | (6786, 3653)
R9              | CP    | 0.96 | 0_deg    | (5431, 7854)
R22             | CP    | 0.96 | 0_deg    | (8894, 2538)
R15             | CP    | 0.96 | 0_deg    | (6908, 8114)
R23             | CP    | 0.95 | 0_deg    | (8891, 2786)
R10             | CP    | 0.95 | 0_deg    | (8894, 1795)
R19             | CP    | 0.95 | 0_deg    | (8894, 2291)
R25             | CP    | 0.95 | 0_deg    | (1824, 3901)
R24             | CP    | 0.95 | 0_deg    | (1826, 4149)
R7              | CP    | 0.95 | 0_deg    | (5010, 397)
R5              | CP    | 0.94 | 0_deg    | (681, 3159)
R8              | CP    | 0.94 | 0_deg    | (4513, 395)
R6              | CP    | 0.94 | 0_deg    | (3894, 1014)
R2              | CP    | 0.93 | 0_deg    | (8246, 1051)
R3              | CP    | 0.93 | 0_deg    | (1796, 1919)
R4              | CP    | 0.93 | 0_deg    | (1799, 1547)
R1              | CP    | 0.93 | 0_deg    | (9234, 1423)
TI11            | CP    | 0.81 | 0_deg    | (10408, 8757)
D1              | CP    | 0.80 | 0_deg    | (10409, 9321)
O16             | CP    | 0.80 | 0_deg    | (12861, 9320)
S1              | CP    | 0.78 | 0_deg    | (12337, 9320)
C30             | CP    | 0.70 | 0_deg    | (1113, 1671)
U3              | CP    | 0.68 | 90_CW    | (4896, 1788)
P1              | CP    | 0.67 | 90_CW    | (1067, 7510)
C6              | CP    | 0.58 | 0_deg    | (10280, 4871)
1K5             | ?     | 1.00 | 0_deg    | (5465, 7977)
1               | ?     | 1.00 | 0_deg    | (11907, 4892)
1               | ?     | 1.00 | 0_deg    | (11158, 6998)
22              | ?     | 1.00 | 0_deg    | (9229, 2538)
1               | ?     | 1.00 | 0_deg    | (6202, 8114)
4               | ?     | 1.00 | 90_CW    | (11836, 7562)
22              | ?     | 0.99 | 0_deg    | (9229, 2290)
10K             | ?     | 0.99 | 0_deg    | (6709, 7977)
3V3             | ?     | 0.99 | 0_deg    | (5734, 7619)
10              | ?     | 0.99 | 0_deg    | (10857, 2538)
10              | ?     | 0.99 | 0_deg    | (10857, 2043)
1               | ?     | 0.99 | 90_CW    | (4023, 5015)
1               | ?     | 0.99 | 90_CW    | (4954, 4457)
22              | ?     | 0.99 | 0_deg    | (9229, 2786)
STLNK           | ?     | 0.99 | 0_deg    | (1372, 3840)
4K7             | ?     | 0.99 | 0_deg    | (2199, 3902)
SWO             | ?     | 0.99 | 0_deg    | (13143, 743)
4K7             | ?     | 0.99 | 0_deg    | (2199, 4150)
OSCOUT          | ?     | 0.99 | 0_deg    | (3407, 3468)
46              | ?     | 0.99 | 90_CW    | (3900, 2076)
10              | ?     | 0.99 | 0_deg    | (10857, 1795)
S               | ?     | 0.99 | 0_deg    | (11687, 2291)
VDDA            | ?     | 0.99 | 0_deg    | (3345, 3840)
4K7             | ?     | 0.99 | 0_deg    | (5039, 594)
STLNK           | ?     | 0.99 | 0_deg    | (5760, 5327)
36              | ?     | 0.99 | 0_deg    | (5857, 2786)
DP              | ?     | 0.99 | 0_deg    | (1577, 7433)
26              | ?     | 0.99 | 0_deg    | (5856, 4025)
48              | ?     | 0.99 | 90_CW    | (3652, 2077)
2K7             | ?     | 0.99 | 0_deg    | (4543, 594)
24              | ?     | 0.99 | 90_CW    | (5016, 4988)
48              | ?     | 0.99 | 0_deg    | (2875, 3158)
0NA             | ?     | 0.99 | 0_deg    | (9674, 1423)
000MEXS00A      | ?     | 0.99 | 0_deg    | (2237, 3159)
3V3             | ?     | 0.99 | 0_deg    | (3153, 1982)
MB1137          | ?     | 0.99 | 0_deg    | (11700, 9133)
VSSA            | ?     | 0.99 | 0_deg    | (3327, 3716)
8272015         | ?     | 0.99 | 0_deg    | (10822, 9321)
33              | ?     | 0.99 | 0_deg    | (5855, 3158)
S               | ?     | 0.99 | 0_deg    | (11687, 2044)
JTCKSWCLK       | ?     | 0.99 | 90_CW    | (5079, 2659)
TX              | ?     | 0.99 | 0_deg    | (2429, 5265)
0KNA            | ?     | 0.99 | 0_deg    | (2217, 1919)
S               | ?     | 0.99 | 0_deg    | (11687, 2539)
13              | ?     | 0.99 | 90_CW    | (3652, 4985)
34              | ?     | 0.99 | 0_deg    | (5858, 3034)
EXP             | ?     | 0.99 | 0_deg    | (1544, 8548)
20              | ?     | 0.99 | 90_CW    | (4521, 4988)
100             | ?     | 0.99 | 0_deg    | (7030, 4397)
STLNK           | ?     | 0.99 | 0_deg    | (6008, 6194)
TCK             | ?     | 0.99 | 0_deg    | (13131, 371)
TMS             | ?     | 0.99 | 0_deg    | (13131, 495)
3V3             | ?     | 0.99 | 0_deg    | (13074, 1858)
21              | ?     | 0.99 | 90_CW    | (4644, 4992)
STLKTX          | ?     | 0.99 | 0_deg    | (759, 5079)
PB2BOOT1        | ?     | 0.99 | 90_CW    | (4583, 4459)
3V3             | ?     | 0.99 | 0_deg    | (402, 309)
LNK             | ?     | 0.99 | 0_deg    | (7088, 2849)
3V3             | ?     | 0.99 | 0_deg    | (6625, 2849)
BOOT0           | ?     | 0.99 | 90_CW    | (4210, 2497)
USBM            | ?     | 0.99 | 90_CW    | (1052, 8240)
STLK            | ?     | 0.99 | 0_deg    | (655, 5575)
VBUS            | ?     | 0.99 | 0_deg    | (1500, 7185)
2               | ?     | 0.99 | 0_deg    | (11281, 4892)
3               | ?     | 0.99 | 0_deg    | (11155, 7246)
PA15JTDI        | ?     | 0.99 | 90_CW    | (4955, 2574)
STLN            | ?     | 0.99 | 0_deg    | (3487, 1982)
35              | ?     | 0.99 | 0_deg    | (5856, 2910)
S               | ?     | 0.99 | 0_deg    | (10695, 2291)
EXP             | ?     | 0.99 | 0_deg    | (1544, 8424)
STLNK           | ?     | 0.99 | 0_deg    | (13448, 1858)
00              | ?     | 0.99 | 0_deg    | (7053, 3653)
3V3             | ?     | 0.99 | 0_deg    | (5633, 6194)
SB107           | ?     | 0.99 | 0_deg    | (274, 3778)
1050170001      | ?     | 0.99 | 0_deg    | (1016, 8734)
VSS             | ?     | 0.98 | 90_CW    | (3838, 2533)
VSS             | ?     | 0.98 | 90_CW    | (4955, 4645)
PB3JTDO         | ?     | 0.98 | 90_CW    | (4831, 2566)
3V3             | ?     | 0.98 | 0_deg    | (12678, 6876)
3V3             | ?     | 0.98 | 0_deg    | (650, 2911)
S               | ?     | 0.98 | 0_deg    | (10695, 2044)
10              | ?     | 0.98 | 0_deg    | (10857, 2290)
10              | ?     | 0.98 | 0_deg    | (11849, 2538)
STLNK           | ?     | 0.98 | 0_deg    | (776, 309)
STLNK           | ?     | 0.98 | 0_deg    | (13053, 6876)
22              | ?     | 0.98 | 0_deg    | (9229, 1795)
VSS2            | ?     | 0.98 | 0_deg    | (5460, 2973)
MCO             | ?     | 0.98 | 0_deg    | (8741, 3716)
28              | ?     | 0.98 | 0_deg    | (5855, 3777)
S               | ?     | 0.98 | 0_deg    | (11687, 1796)
VBAT            | ?     | 0.98 | 0_deg    | (3335, 2849)
VDD2            | ?     | 0.98 | 0_deg    | (5441, 2849)
3               | ?     | 0.98 | 0_deg    | (1063, 3839)
3V3             | ?     | 0.98 | 0_deg    | (5385, 5327)
25              | ?     | 0.98 | 0_deg    | (5855, 4149)
3V3             | ?     | 0.98 | 0_deg    | (12702, 5451)
3               | ?     | 0.98 | 0_deg    | (12623, 9320)
S               | ?     | 0.98 | 0_deg    | (10695, 2539)
47              | ?     | 0.98 | 90_CW    | (3776, 2076)
3               | ?     | 0.98 | 90_CW    | (5885, 7928)
3               | ?     | 0.98 | 90_CW    | (3838, 2347)
VDD1            | ?     | 0.98 | 90_CW    | (5079, 4574)
27              | ?     | 0.98 | 0_deg    | (5856, 3902)
100             | ?     | 0.98 | 0_deg    | (10986, 5549)
29              | ?     | 0.98 | 0_deg    | (5856, 3654)
STLNK           | ?     | 0.98 | 0_deg    | (13076, 5451)
USBLC62SC6      | ?     | 0.98 | 0_deg    | (3811, 8362)
10              | ?     | 0.98 | 0_deg    | (11849, 2043)
15              | ?     | 0.98 | 90_CW    | (3900, 4984)
0               | ?     | 0.98 | 0_deg    | (12303, 5512)
23              | ?     | 0.98 | 90_CW    | (4893, 4990)
GND             | ?     | 0.98 | 0_deg    | (1530, 7681)
31              | ?     | 0.98 | 0_deg    | (5853, 3405)
DM              | ?     | 0.98 | 0_deg    | (1561, 7309)
100             | ?     | 0.98 | 0_deg    | (10986, 5053)
S               | ?     | 0.98 | 0_deg    | (10695, 1796)
2               | ?     | 0.98 | 90_CW    | (5884, 8429)
2               | ?     | 0.98 | 90_CW    | (11464, 7562)
32              | ?     | 0.98 | 0_deg    | (5857, 3282)
U5V             | ?     | 0.98 | 0_deg    | (2107, 6753)
3V3             | ?     | 0.98 | 0_deg    | (2733, 867)
GND             | ?     | 0.98 | 0_deg    | (11525, 7383)
2               | ?     | 0.98 | 0_deg    | (1737, 2910)
26              | ?     | 0.98 | 0_deg    | (7070, 4149)
VDD3            | ?     | 0.98 | 90_CW    | (3714, 2497)
10              | ?     | 0.98 | 0_deg    | (11849, 1795)
3               | ?     | 0.98 | 0_deg    | (11279, 5388)
100             | ?     | 0.98 | 0_deg    | (706, 3282)
JTMSSWDIO       | ?     | 0.98 | 0_deg    | (5289, 3097)
STLNK           | ?     | 0.98 | 0_deg    | (6109, 7619)
10              | ?     | 0.98 | 0_deg    | (2951, 3901)
10K             | ?     | 0.98 | 0_deg    | (8284, 1299)
10K             | ?     | 0.98 | 0_deg    | (2208, 1547)
12              | ?     | 0.98 | 0_deg    | (2950, 4149)
OSCN            | ?     | 0.98 | 0_deg    | (3351, 3344)
11              | ?     | 0.98 | 0_deg    | (1889, 8485)
100K            | ?     | 0.98 | 0_deg    | (2520, 7853)
9013            | ?     | 0.98 | 0_deg    | (5686, 8238)
5               | ?     | 0.98 | 0_deg    | (12278, 6999)
STM32I103CBT6   | ?     | 0.98 | 0_deg    | (5868, 2044)
100K            | ?     | 0.98 | 0_deg    | (3959, 1212)
BAT60JIILM      | ?     | 0.98 | 0_deg    | (10109, 7247)
11              | ?     | 0.98 | 0_deg    | (2946, 4025)
BAT60JIILM      | ?     | 0.98 | 0_deg    | (10109, 6256)
10              | ?     | 0.98 | 0_deg    | (1894, 8361)
10              | ?     | 0.98 | 0_deg    | (11849, 2290)
U5V             | ?     | 0.98 | 0_deg    | (6572, 7496)
BAT60JIILM      | ?     | 0.98 | 0_deg    | (9105, 1560)
1               | ?     | 0.98 | 0_deg    | (1361, 2910)
3V3PER          | ?     | 0.97 | 0_deg    | (1367, 3964)
TMSSWDIO        | ?     | 0.97 | 0_deg    | (11341, 433)
30              | ?     | 0.97 | 0_deg    | (5858, 3529)
BAT60JIILM      | ?     | 0.97 | 0_deg    | (4145, 693)
NA              | ?     | 0.97 | 0_deg    | (5213, 6131)
5R0603          | ?     | 0.97 | 0_deg    | (13135, 7482)
100I            | ?     | 0.97 | 0_deg    | (2362, 915)
100I            | ?     | 0.97 | 0_deg    | (1866, 915)
100I            | ?     | 0.97 | 0_deg    | (1370, 915)
00USBRENUM      | ?     | 0.97 | 0_deg    | (7552, 8115)
LDBICOLORCMS    | ?     | 0.97 | 0_deg    | (11874, 5760)
100I            | ?     | 0.97 | 0_deg    | (5090, 8597)
100I            | ?     | 0.97 | 0_deg    | (874, 915)
NRST            | ?     | 0.97 | 0_deg    | (3324, 3592)
100I            | ?     | 0.97 | 0_deg    | (638, 3901)
10IX7R0603      | ?     | 0.97 | 0_deg    | (12395, 7854)
PB4NTRST        | ?     | 0.97 | 90_CW    | (4707, 2627)
100I            | ?     | 0.96 | 0_deg    | (13150, 7853)
100I            | ?     | 0.96 | 0_deg    | (11290, 7853)
4R14            | ?     | 0.96 | 0_deg    | (12038, 5369)
NRST            | ?     | 0.96 | 0_deg    | (13159, 619)
TCKSWCLK        | ?     | 0.95 | 0_deg    | (11103, 308)
ID              | ?     | 0.95 | 0_deg    | (1591, 7557)
17              | ?     | 0.95 | 90_CW    | (4148, 4983)
NX3225GD        | ?     | 0.94 | 0_deg    | (1508, 3159)
14              | ?     | 0.94 | 90_CW    | (3775, 4982)
22              | ?     | 0.94 | 90_CW    | (4768, 4988)
BAT6D0JIILM     | ?     | 0.93 | 0_deg    | (10109, 6752)
19              | ?     | 0.93 | 90_CW    | (4396, 4983)
LD39D85M33R     | ?     | 0.93 | 0_deg    | (11854, 6876)
20PINA          | ?     | 0.93 | 0_deg    | (7527, 3528)
38              | ?     | 0.92 | 90_CW    | (4893, 2076)
X5R0613         | ?     | 0.92 | 0_deg    | (10873, 7494)
44              | ?     | 0.92 | 90_CW    | (4147, 2076)
39              | ?     | 0.92 | 90_CW    | (4769, 2075)
37              | ?     | 0.92 | 90_CW    | (5017, 2075)
40              | ?     | 0.92 | 90_CW    | (4645, 2076)
41              | ?     | 0.92 | 90_CW    | (4520, 2080)
I6X1            | ?     | 0.91 | 0_deg    | (8210, 2662)
43              | ?     | 0.91 | 90_CW    | (4272, 2078)
42              | ?     | 0.91 | 90_CW    | (4395, 2076)
45              | ?     | 0.90 | 90_CW    | (4024, 2078)
STLNK           | ?     | 0.90 | 0_deg    | (1021, 2911)
18              | ?     | 0.90 | 90_CW    | (4272, 4983)
10PI            | ?     | 0.89 | 0_deg    | (2099, 2673)
PDWREN          | ?     | 0.89 | 0_deg    | (8775, 3841)
10PI            | ?     | 0.89 | 0_deg    | (983, 2673)
C1OS            | ?     | 0.88 | 0_deg    | (7912, 3653)
TJRSI           | ?     | 0.88 | 90_CW    | (4409, 5389)
STLNK11         | ?     | 0.88 | 0_deg    | (3122, 867)
VIN5V11         | ?     | 0.88 | 0_deg    | (9349, 6071)
C1OS            | ?     | 0.87 | 0_deg    | (11012, 2166)
C1OS            | ?     | 0.87 | 0_deg    | (12625, 556)
C1OS            | ?     | 0.87 | 0_deg    | (11012, 2414)
C1OS            | ?     | 0.87 | 0_deg    | (12376, 680)
C1OS            | ?     | 0.87 | 0_deg    | (11012, 2662)
CN6D            | ?     | 0.87 | 0_deg    | (7915, 1672)
36DK            | ?     | 0.86 | 0_deg    | (6705, 8473)
C1OS            | ?     | 0.86 | 0_deg    | (11012, 1919)
VI              | ?     | 0.86 | 0_deg    | (11364, 7050)
SI              | ?     | 0.86 | 0_deg    | (10377, 9133)
BVPDASS         | ?     | 0.85 | 0_deg    | (11942, 7383)
1               | ?     | 0.85 | 90_CW    | (1050, 7351)
GNDV6US         | ?     | 0.84 | 0_deg    | (3844, 8052)
T               | ?     | 0.83 | 0_deg    | (9454, 1803)
OP              | ?     | 0.83 | 0_deg    | (11971, 1930)
U5V11           | ?     | 0.83 | 0_deg    | (9433, 7062)
11U5V           | ?     | 0.83 | 0_deg    | (5075, 8053)
OP              | ?     | 0.83 | 0_deg    | (11971, 2177)
E5V11           | ?     | 0.83 | 0_deg    | (9440, 6567)
OP              | ?     | 0.83 | 0_deg    | (11971, 2673)
OP              | ?     | 0.83 | 0_deg    | (11971, 2425)
OP              | ?     | 0.82 | 0_deg    | (191, 3912)
T               | ?     | 0.82 | 0_deg    | (9454, 2299)
1UI             | ?     | 0.82 | 0_deg    | (12724, 7483)
O               | ?     | 0.82 | 0_deg    | (9743, 2794)
O               | ?     | 0.82 | 0_deg    | (11603, 688)
O               | ?     | 0.82 | 0_deg    | (6395, 3414)
RVISIO          | ?     | 0.82 | 0_deg    | (12441, 9134)
PIO             | ?     | 0.82 | 0_deg    | (10405, 8946)
5V11            | ?     | 0.80 | 0_deg    | (3274, 496)
DI11PII90O1     | ?     | 0.80 | 0_deg    | (4175, 6997)
NL              | ?     | 0.79 | 0_deg    | (11423, 7310)
QB              | ?     | 0.79 | 90_CW    | (1053, 7853)
1U              | ?     | 0.79 | 0_deg    | (10476, 7495)
X               | ?     | 0.78 | 0_deg    | (11644, 8945)
DI11PII9D0O1    | ?     | 0.78 | 0_deg    | (4175, 7741)
S1I             | ?     | 0.77 | 0_deg    | (1446, 8299)
S1I             | ?     | 0.77 | 0_deg    | (1446, 8052)
S1I             | ?     | 0.77 | 0_deg    | (1446, 7928)
S1I             | ?     | 0.77 | 0_deg    | (1446, 8175)
TC              | ?     | 0.76 | 90_CW    | (3904, 5344)
TN              | ?     | 0.76 | 90_CW    | (4276, 5484)
I               | ?     | 0.76 | 0_deg    | (4216, 7172)
I               | ?     | 0.76 | 0_deg    | (4216, 7593)
TOO             | ?     | 0.76 | 90_CW    | (4028, 5306)
VOU1            | ?     | 0.75 | 0_deg    | (12040, 7050)
R1I             | ?     | 0.75 | 0_deg    | (11096, 9131)
OSCOUT          | ?     | 0.74 | 0_deg    | (2473, 3414)
O               | ?     | 0.74 | 0_deg    | (351, 1682)
3T              | ?     | 0.73 | 90_CW    | (4276, 5250)
TCK             | ?     | 0.72 | 90_CW    | (5020, 1443)
TNST            | ?     | 0.72 | 0_deg    | (11725, 564)
TO              | ?     | 0.72 | 90_CW    | (4152, 5345)
STLINKV2I       | ?     | 0.72 | 0_deg    | (10951, 8759)
TNST            | ?     | 0.72 | 0_deg    | (9617, 2546)
TCK             | ?     | 0.72 | 0_deg    | (9691, 1803)
TCK             | ?     | 0.71 | 0_deg    | (12691, 2051)
TS              | ?     | 0.70 | 0_deg    | (9514, 2794)
TCK             | ?     | 0.70 | 0_deg    | (6342, 4033)
C1NUCLEOX       | ?     | 0.70 | 0_deg    | (10931, 8945)
ST              | ?     | 0.70 | 0_deg    | (2634, 3538)
TS              | ?     | 0.70 | 0_deg    | (6166, 3414)
TS              | ?     | 0.70 | 0_deg    | (6290, 4405)
TS              | ?     | 0.70 | 0_deg    | (11374, 688)
3TM             | ?     | 0.69 | 90_CW    | (5020, 1756)
OSC             | ?     | 0.68 | 0_deg    | (2340, 3290)
MCO             | ?     | 0.68 | 0_deg    | (8302, 3662)
STLINKS         | ?     | 0.67 | 0_deg    | (12462, 3968)
TMS             | ?     | 0.67 | 0_deg    | (6495, 3042)
STLNKUS         | ?     | 0.67 | 0_deg    | (5478, 7255)
STLNKUS         | ?     | 0.67 | 0_deg    | (6346, 3166)
OON             | ?     | 0.67 | 0_deg    | (6645, 4405)
STLNKUS         | ?     | 0.66 | 0_deg    | (6346, 3290)
TMS             | ?     | 0.66 | 0_deg    | (9695, 2299)
TMS             | ?     | 0.66 | 0_deg    | (12695, 2546)
STM             | ?     | 0.66 | 0_deg    | (2336, 3538)
STM             | ?     | 0.66 | 0_deg    | (6180, 3042)
STM             | ?     | 0.66 | 0_deg    | (12380, 2051)
TMS             | ?     | 0.66 | 0_deg    | (6346, 3909)
STM             | ?     | 0.66 | 0_deg    | (12380, 2546)
LOSTLNK         | ?     | 0.65 | 0_deg    | (6376, 3538)
NUCLEOS         | ?     | 0.65 | 0_deg    | (12456, 3820)
N               | ?     | 0.65 | 0_deg    | (2564, 3290)
LOSTLNK         | ?     | 0.65 | 0_deg    | (10344, 5396)
1               | ?     | 0.65 | 0_deg    | (12503, 9325)
FNUMH           | ?     | 0.64 | 90_CW    | (4896, 1350)
SILNKUS         | ?     | 0.64 | 0_deg    | (5478, 7384)
AN              | ?     | 0.63 | 0_deg    | (2558, 3909)
AN              | ?     | 0.62 | 0_deg    | (9874, 1307)
LSON            | ?     | 0.62 | 0_deg    | (11614, 3820)
Q               | ?     | 0.62 | 45_CCW   | (2270, 3414)
I               | ?     | 0.61 | 0_deg    | (801, 1673)
HH              | ?     | 0.61 | 90_CW    | (5304, 7315)
L               | ?     | 0.61 | 0_deg    | (7851, 2663)
1O              | ?     | 0.60 | 0_deg    | (14078, 9289)
Q               | ?     | 0.59 | 45_CCW   | (12596, 3820)
3U              | ?     | 0.59 | 0_deg    | (11099, 3969)
LSOEE           | ?     | 0.59 | 0_deg    | (11644, 3968)
S               | ?     | 0.58 | 45_CCW   | (10284, 6261)
3U              | ?     | 0.58 | 0_deg    | (11099, 3821)
HH              | ?     | 0.58 | 90_CW    | (6106, 3970)
HHH             | ?     | 0.58 | 90_CW    | (6172, 3165)
HH              | ?     | 0.58 | 90_CW    | (6272, 3970)
H               | ?     | 0.58 | 90_CW    | (6418, 3537)
H               | ?     | 0.58 | 90_CW    | (9454, 2545)
H               | ?     | 0.58 | 90_CW    | (9780, 2545)
H               | ?     | 0.58 | 90_CW    | (10387, 5395)
H               | ?     | 0.58 | 90_CW    | (11562, 563)
H               | ?     | 0.58 | 90_CW    | (11888, 563)
H               | ?     | 0.58 | 90_CW    | (12262, 3967)
O               | ?     | 0.58 | 45_CCW   | (11140, 8945)
S               | ?     | 0.58 | 45_CCW   | (4320, 699)
S               | ?     | 0.58 | 45_CCW   | (9281, 1565)
OU              | ?     | 0.58 | 0_deg    | (13623, 9298)
S               | ?     | 0.58 | 0_deg    | (13573, 529)
O               | ?     | 0.57 | 0_deg    | (13916, 9298)
S               | ?     | 0.57 | 45_CCW   | (10284, 6757)
S               | ?     | 0.57 | 45_CCW   | (10284, 7252)
P               | ?     | 0.56 | 0_deg    | (11331, 6729)
3               | ?     | 0.56 | 0_deg    | (930, 3844)
OM              | ?     | 0.56 | 0_deg    | (5945, 7255)
5C              | ?     | 0.56 | 0_deg    | (13164, 2032)
OM              | ?     | 0.56 | 0_deg    | (6813, 3290)
6               | ?     | 0.56 | 0_deg    | (13414, 2527)
FXI             | ?     | 0.55 | 90_CW    | (4766, 1421)
C               | ?     | 0.55 | 0_deg    | (12998, 3979)
D               | ?     | 0.55 | 0_deg    | (11623, 4788)
S               | ?     | 0.55 | 0_deg    | (6014, 8097)
C               | ?     | 0.55 | 0_deg    | (12988, 3831)
3               | ?     | 0.55 | 90_CW    | (13824, 9297)
S               | ?     | 0.54 | 45_CCW   | (5778, 495)
S               | ?     | 0.54 | 45_CCW   | (7390, 3222)
S               | ?     | 0.54 | 45_CCW   | (10118, 2106)
S               | ?     | 0.54 | 45_CCW   | (12970, 2354)
S               | ?     | 0.54 | 45_CCW   | (4017, 6194)
S               | ?     | 0.54 | 45_CCW   | (2653, 8053)
O               | ?     | 0.54 | 45_CCW   | (11812, 5760)
S               | ?     | 0.54 | 45_CCW   | (1413, 1610)
S               | ?     | 0.54 | 45_CCW   | (3521, 1115)
S               | ?     | 0.54 | 45_CCW   | (2529, 3717)
D               | ?     | 0.54 | 0_deg    | (1063, 7678)
S               | ?     | 0.54 | 45_CCW   | (3706, 8367)
S               | ?     | 0.54 | 45_CCW   | (12598, 4956)
9               | ?     | 0.54 | 45_CCW   | (13251, 2530)
D               | ?     | 0.54 | 0_deg    | (1063, 7312)
9               | ?     | 0.54 | 45_CCW   | (7955, 1281)
H               | ?     | 0.54 | 90_CW    | (1273, 6723)
D               | ?     | 0.54 | 0_deg    | (1063, 7579)
